chunk,question
"© Commonwealth of Australia 2011     This work is copyright. Apart from any use permitt ed by the Copyright Act 1968, no  part may be reproduced without permission of the Australian Competition and  Consumer Commission.  Requests and inquiries concerning reproduction and rights  should  be addressed  to the Director Publishing, Australian Competiti on and  Consumer  Commission,  GPO Box 3131, Canberra ACT 2601.     Important notice   This publication has been updated to refer to the Competition and   Consumer Act 2010  which replaces the Trade Practices Act 1974  on  1 January 2011  and to reflect the 2017 amendme nts to the Competition and  Consumer Act 2010 .     ISBN 978 1 xxxxxx xx x  ACCC_11/10_23916_222  www.accc.gov.au",What is the ISBN number and the ACCC reference number assigned to this publication?
"© Commonwealth of Australia 2011     This work is copyright. Apart from any use permitt ed by the Copyright Act 1968, no  part may be reproduced without permission of the Australian Competition and  Consumer Commission.  Requests and inquiries concerning reproduction and rights  should  be addressed  to the Director Publishing, Australian Competiti on and  Consumer  Commission,  GPO Box 3131, Canberra ACT 2601.     Important notice   This publication has been updated to refer to the Competition and   Consumer Act 2010  which replaces the Trade Practices Act 1974  on  1 January 2011  and to reflect the 2017 amendme nts to the Competition and  Consumer Act 2010 .     ISBN 978 1 xxxxxx xx x  ACCC_11/10_23916_222  www.accc.gov.au",What is the URL of the Australian Competition and Consumer Commission's website?
"Contents   Foreword ……….  ................................ ................................ ................................ ..................  1  1. Introduction  ................................ ................................ ................................ ..................  2  Section 50 of the Act  ................................ ................................ .............................  2  Types of s. 50 merger assessments  ................................ ................................ ...... 2  Informal review  ................................ ................................ ................................ ...... 3  Merger authorisation  ................................ ................................ .............................  3  Types of mergers  ................................ ................................ ................................ .. 4  Purpose of these guidelines  ................................ ................................ ..................  4  Contact with the ACCC  ................................ ................................ .........................  5  2. Notification threshold  ................................ ................................ ................................ .. 6  3. The competition test  ................................ ................................ ................................ .... 8  Substantial lessening of competition  ................................ ................................ ..... 9  Competiti ve constraints and the ‘merger factors’  ................................ ...................  9  The forward -looking nature of the competition test  ................................ ..............  10  4. Market definition  ................................ ................................ ................................ ........  13  The concept of a market  ................................ ................................ .....................  13  The ACCC approach to defining a market  ................................ ...........................  14  Substitu tion ................................ ................................ ................................ .........  14  Substantial market in Australia, a state, territory or region of Australia  ................  18  5. Unilateral effects  ................................ ................................ ................................ ........  22  Horizontal mergers  ................................ ................................ ..............................  22  Non-horizontal mergers  ................................ ................................ .......................  25  6. Coordinated effects  ................................ ................................ ................................ ... 30  Coordinated conduct  ................................ ................................ ...........................  30  Conditions facilitating coordinated conduct  ................................ .........................  30  7. Merger  factors  ................................ ................................ ................................ ............  33  Concentration and market shares  ................................ ................................ ....... 33  Height of barriers to entry  ................................ ................................ ....................  36  Actual and potential import competition  ................................ ...............................  39","What is the purpose of the guidelines outlined in the document, and where in the document is this purpose explained?"
"Contents   Foreword ……….  ................................ ................................ ................................ ..................  1  1. Introduction  ................................ ................................ ................................ ..................  2  Section 50 of the Act  ................................ ................................ .............................  2  Types of s. 50 merger assessments  ................................ ................................ ...... 2  Informal review  ................................ ................................ ................................ ...... 3  Merger authorisation  ................................ ................................ .............................  3  Types of mergers  ................................ ................................ ................................ .. 4  Purpose of these guidelines  ................................ ................................ ..................  4  Contact with the ACCC  ................................ ................................ .........................  5  2. Notification threshold  ................................ ................................ ................................ .. 6  3. The competition test  ................................ ................................ ................................ .... 8  Substantial lessening of competition  ................................ ................................ ..... 9  Competiti ve constraints and the ‘merger factors’  ................................ ...................  9  The forward -looking nature of the competition test  ................................ ..............  10  4. Market definition  ................................ ................................ ................................ ........  13  The concept of a market  ................................ ................................ .....................  13  The ACCC approach to defining a market  ................................ ...........................  14  Substitu tion ................................ ................................ ................................ .........  14  Substantial market in Australia, a state, territory or region of Australia  ................  18  5. Unilateral effects  ................................ ................................ ................................ ........  22  Horizontal mergers  ................................ ................................ ..............................  22  Non-horizontal mergers  ................................ ................................ .......................  25  6. Coordinated effects  ................................ ................................ ................................ ... 30  Coordinated conduct  ................................ ................................ ...........................  30  Conditions facilitating coordinated conduct  ................................ .........................  30  7. Merger  factors  ................................ ................................ ................................ ............  33  Concentration and market shares  ................................ ................................ ....... 33  Height of barriers to entry  ................................ ................................ ....................  36  Actual and potential import competition  ................................ ...............................  39","What specific types of merger assessments are discussed in Section 50 of the Act, and on which page number(s) can this information be found?"
"Contents   Foreword ……….  ................................ ................................ ................................ ..................  1  1. Introduction  ................................ ................................ ................................ ..................  2  Section 50 of the Act  ................................ ................................ .............................  2  Types of s. 50 merger assessments  ................................ ................................ ...... 2  Informal review  ................................ ................................ ................................ ...... 3  Merger authorisation  ................................ ................................ .............................  3  Types of mergers  ................................ ................................ ................................ .. 4  Purpose of these guidelines  ................................ ................................ ..................  4  Contact with the ACCC  ................................ ................................ .........................  5  2. Notification threshold  ................................ ................................ ................................ .. 6  3. The competition test  ................................ ................................ ................................ .... 8  Substantial lessening of competition  ................................ ................................ ..... 9  Competiti ve constraints and the ‘merger factors’  ................................ ...................  9  The forward -looking nature of the competition test  ................................ ..............  10  4. Market definition  ................................ ................................ ................................ ........  13  The concept of a market  ................................ ................................ .....................  13  The ACCC approach to defining a market  ................................ ...........................  14  Substitu tion ................................ ................................ ................................ .........  14  Substantial market in Australia, a state, territory or region of Australia  ................  18  5. Unilateral effects  ................................ ................................ ................................ ........  22  Horizontal mergers  ................................ ................................ ..............................  22  Non-horizontal mergers  ................................ ................................ .......................  25  6. Coordinated effects  ................................ ................................ ................................ ... 30  Coordinated conduct  ................................ ................................ ...........................  30  Conditions facilitating coordinated conduct  ................................ .........................  30  7. Merger  factors  ................................ ................................ ................................ ............  33  Concentration and market shares  ................................ ................................ ....... 33  Height of barriers to entry  ................................ ................................ ....................  36  Actual and potential import competition  ................................ ...............................  39","How does the document define ""substantial lessening of competition,"" and what factors are considered in determining this?  Include page numbers."
"Contents   Foreword ……….  ................................ ................................ ................................ ..................  1  1. Introduction  ................................ ................................ ................................ ..................  2  Section 50 of the Act  ................................ ................................ .............................  2  Types of s. 50 merger assessments  ................................ ................................ ...... 2  Informal review  ................................ ................................ ................................ ...... 3  Merger authorisation  ................................ ................................ .............................  3  Types of mergers  ................................ ................................ ................................ .. 4  Purpose of these guidelines  ................................ ................................ ..................  4  Contact with the ACCC  ................................ ................................ .........................  5  2. Notification threshold  ................................ ................................ ................................ .. 6  3. The competition test  ................................ ................................ ................................ .... 8  Substantial lessening of competition  ................................ ................................ ..... 9  Competiti ve constraints and the ‘merger factors’  ................................ ...................  9  The forward -looking nature of the competition test  ................................ ..............  10  4. Market definition  ................................ ................................ ................................ ........  13  The concept of a market  ................................ ................................ .....................  13  The ACCC approach to defining a market  ................................ ...........................  14  Substitu tion ................................ ................................ ................................ .........  14  Substantial market in Australia, a state, territory or region of Australia  ................  18  5. Unilateral effects  ................................ ................................ ................................ ........  22  Horizontal mergers  ................................ ................................ ..............................  22  Non-horizontal mergers  ................................ ................................ .......................  25  6. Coordinated effects  ................................ ................................ ................................ ... 30  Coordinated conduct  ................................ ................................ ...........................  30  Conditions facilitating coordinated conduct  ................................ .........................  30  7. Merger  factors  ................................ ................................ ................................ ............  33  Concentration and market shares  ................................ ................................ ....... 33  Height of barriers to entry  ................................ ................................ ....................  36  Actual and potential import competition  ................................ ...............................  39","Describe the ACCC's approach to defining a market, including the concept of substitution, and specify the page numbers where this information is detailed."
"Contents   Foreword ……….  ................................ ................................ ................................ ..................  1  1. Introduction  ................................ ................................ ................................ ..................  2  Section 50 of the Act  ................................ ................................ .............................  2  Types of s. 50 merger assessments  ................................ ................................ ...... 2  Informal review  ................................ ................................ ................................ ...... 3  Merger authorisation  ................................ ................................ .............................  3  Types of mergers  ................................ ................................ ................................ .. 4  Purpose of these guidelines  ................................ ................................ ..................  4  Contact with the ACCC  ................................ ................................ .........................  5  2. Notification threshold  ................................ ................................ ................................ .. 6  3. The competition test  ................................ ................................ ................................ .... 8  Substantial lessening of competition  ................................ ................................ ..... 9  Competiti ve constraints and the ‘merger factors’  ................................ ...................  9  The forward -looking nature of the competition test  ................................ ..............  10  4. Market definition  ................................ ................................ ................................ ........  13  The concept of a market  ................................ ................................ .....................  13  The ACCC approach to defining a market  ................................ ...........................  14  Substitu tion ................................ ................................ ................................ .........  14  Substantial market in Australia, a state, territory or region of Australia  ................  18  5. Unilateral effects  ................................ ................................ ................................ ........  22  Horizontal mergers  ................................ ................................ ..............................  22  Non-horizontal mergers  ................................ ................................ .......................  25  6. Coordinated effects  ................................ ................................ ................................ ... 30  Coordinated conduct  ................................ ................................ ...........................  30  Conditions facilitating coordinated conduct  ................................ .........................  30  7. Merger  factors  ................................ ................................ ................................ ............  33  Concentration and market shares  ................................ ................................ ....... 33  Height of barriers to entry  ................................ ................................ ....................  36  Actual and potential import competition  ................................ ...............................  39","What are the key differences between the analysis of unilateral effects in horizontal versus non-horizontal mergers, and on what pages are these distinctions explained?"
"Contents   Foreword ……….  ................................ ................................ ................................ ..................  1  1. Introduction  ................................ ................................ ................................ ..................  2  Section 50 of the Act  ................................ ................................ .............................  2  Types of s. 50 merger assessments  ................................ ................................ ...... 2  Informal review  ................................ ................................ ................................ ...... 3  Merger authorisation  ................................ ................................ .............................  3  Types of mergers  ................................ ................................ ................................ .. 4  Purpose of these guidelines  ................................ ................................ ..................  4  Contact with the ACCC  ................................ ................................ .........................  5  2. Notification threshold  ................................ ................................ ................................ .. 6  3. The competition test  ................................ ................................ ................................ .... 8  Substantial lessening of competition  ................................ ................................ ..... 9  Competiti ve constraints and the ‘merger factors’  ................................ ...................  9  The forward -looking nature of the competition test  ................................ ..............  10  4. Market definition  ................................ ................................ ................................ ........  13  The concept of a market  ................................ ................................ .....................  13  The ACCC approach to defining a market  ................................ ...........................  14  Substitu tion ................................ ................................ ................................ .........  14  Substantial market in Australia, a state, territory or region of Australia  ................  18  5. Unilateral effects  ................................ ................................ ................................ ........  22  Horizontal mergers  ................................ ................................ ..............................  22  Non-horizontal mergers  ................................ ................................ .......................  25  6. Coordinated effects  ................................ ................................ ................................ ... 30  Coordinated conduct  ................................ ................................ ...........................  30  Conditions facilitating coordinated conduct  ................................ .........................  30  7. Merger  factors  ................................ ................................ ................................ ............  33  Concentration and market shares  ................................ ................................ ....... 33  Height of barriers to entry  ................................ ................................ ....................  36  Actual and potential import competition  ................................ ...............................  39","What conditions are identified in the document as facilitating coordinated conduct in mergers, and what page numbers provide this information?"
Availability of substitutes  ................................ ................................ .....................  41  Countervailing power  ................................ ................................ .........................  44  Dynamic characteristics of the market  ................................ ................................ . 45  Removal of a vigorous and effective competitor  ................................ ..................  46  Vertical integration  ................................ ................................ ..............................  47  Ability to increase prices or profit margins  ................................ ...........................  47  Other factors  ................................ ................................ ................................ ....... 48  Appendix 1:  Relevant provisions of the Act  ................................ .............................  51  The substantive mergers test (s. 50)  ................................ ................................ ... 51  Clearance processe s and authorisations provisions  ................................ ............  52  Enforcement and undertakings provisions  ................................ ...........................  52  Appendix 2:  Acquisitions subject to the Act  ................................ ............................  54  Territorial jurisdiction  ................................ ................................ ...........................  54  Acquirers subject to the Act  ................................ ................................ .................  54  Types of acq uisitions  ................................ ................................ ...........................  54  Exceptions  ................................ ................................ ................................ ..........  55  Partial shareholdings and minority interests  ................................ ........................  55  Appendix 3:  Undertakings  ................................ ................................ ..........................  58  General principles  ................................ ................................ ...............................  58  Types of undertakings  ................................ ................................ .........................  59  Process  ................................ ................................ ................................ ...............  61  Enforcement ................................ ................................ ................................ ........  61  Glossary and shortened forms  ................................ ................................ ........................  63,What specific factors related to market dynamics (page 45) are considered when assessing a merger's potential impact?
Availability of substitutes  ................................ ................................ .....................  41  Countervailing power  ................................ ................................ .........................  44  Dynamic characteristics of the market  ................................ ................................ . 45  Removal of a vigorous and effective competitor  ................................ ..................  46  Vertical integration  ................................ ................................ ..............................  47  Ability to increase prices or profit margins  ................................ ...........................  47  Other factors  ................................ ................................ ................................ ....... 48  Appendix 1:  Relevant provisions of the Act  ................................ .............................  51  The substantive mergers test (s. 50)  ................................ ................................ ... 51  Clearance processe s and authorisations provisions  ................................ ............  52  Enforcement and undertakings provisions  ................................ ...........................  52  Appendix 2:  Acquisitions subject to the Act  ................................ ............................  54  Territorial jurisdiction  ................................ ................................ ...........................  54  Acquirers subject to the Act  ................................ ................................ .................  54  Types of acq uisitions  ................................ ................................ ...........................  54  Exceptions  ................................ ................................ ................................ ..........  55  Partial shareholdings and minority interests  ................................ ........................  55  Appendix 3:  Undertakings  ................................ ................................ ..........................  58  General principles  ................................ ................................ ...............................  58  Types of undertakings  ................................ ................................ .........................  59  Process  ................................ ................................ ................................ ...............  61  Enforcement ................................ ................................ ................................ ........  61  Glossary and shortened forms  ................................ ................................ ........................  63,"What are the key differences between the ""substantive mergers test"" (page 51) and the ""clearance processes and authorisations provisions"" (page 52) described in Appendix 1?"
Availability of substitutes  ................................ ................................ .....................  41  Countervailing power  ................................ ................................ .........................  44  Dynamic characteristics of the market  ................................ ................................ . 45  Removal of a vigorous and effective competitor  ................................ ..................  46  Vertical integration  ................................ ................................ ..............................  47  Ability to increase prices or profit margins  ................................ ...........................  47  Other factors  ................................ ................................ ................................ ....... 48  Appendix 1:  Relevant provisions of the Act  ................................ .............................  51  The substantive mergers test (s. 50)  ................................ ................................ ... 51  Clearance processe s and authorisations provisions  ................................ ............  52  Enforcement and undertakings provisions  ................................ ...........................  52  Appendix 2:  Acquisitions subject to the Act  ................................ ............................  54  Territorial jurisdiction  ................................ ................................ ...........................  54  Acquirers subject to the Act  ................................ ................................ .................  54  Types of acq uisitions  ................................ ................................ ...........................  54  Exceptions  ................................ ................................ ................................ ..........  55  Partial shareholdings and minority interests  ................................ ........................  55  Appendix 3:  Undertakings  ................................ ................................ ..........................  58  General principles  ................................ ................................ ...............................  58  Types of undertakings  ................................ ................................ .........................  59  Process  ................................ ................................ ................................ ...............  61  Enforcement ................................ ................................ ................................ ........  61  Glossary and shortened forms  ................................ ................................ ........................  63,"How does the concept of ""countervailing power"" (page 44) influence the assessment of a merger's competitive effects?"
Availability of substitutes  ................................ ................................ .....................  41  Countervailing power  ................................ ................................ .........................  44  Dynamic characteristics of the market  ................................ ................................ . 45  Removal of a vigorous and effective competitor  ................................ ..................  46  Vertical integration  ................................ ................................ ..............................  47  Ability to increase prices or profit margins  ................................ ...........................  47  Other factors  ................................ ................................ ................................ ....... 48  Appendix 1:  Relevant provisions of the Act  ................................ .............................  51  The substantive mergers test (s. 50)  ................................ ................................ ... 51  Clearance processe s and authorisations provisions  ................................ ............  52  Enforcement and undertakings provisions  ................................ ...........................  52  Appendix 2:  Acquisitions subject to the Act  ................................ ............................  54  Territorial jurisdiction  ................................ ................................ ...........................  54  Acquirers subject to the Act  ................................ ................................ .................  54  Types of acq uisitions  ................................ ................................ ...........................  54  Exceptions  ................................ ................................ ................................ ..........  55  Partial shareholdings and minority interests  ................................ ........................  55  Appendix 3:  Undertakings  ................................ ................................ ..........................  58  General principles  ................................ ................................ ...............................  58  Types of undertakings  ................................ ................................ .........................  59  Process  ................................ ................................ ................................ ...............  61  Enforcement ................................ ................................ ................................ ........  61  Glossary and shortened forms  ................................ ................................ ........................  63,"What types of acquisitions are explicitly mentioned as being subject to the Act in Appendix 2 (page 54), and are there any notable exceptions?"
Availability of substitutes  ................................ ................................ .....................  41  Countervailing power  ................................ ................................ .........................  44  Dynamic characteristics of the market  ................................ ................................ . 45  Removal of a vigorous and effective competitor  ................................ ..................  46  Vertical integration  ................................ ................................ ..............................  47  Ability to increase prices or profit margins  ................................ ...........................  47  Other factors  ................................ ................................ ................................ ....... 48  Appendix 1:  Relevant provisions of the Act  ................................ .............................  51  The substantive mergers test (s. 50)  ................................ ................................ ... 51  Clearance processe s and authorisations provisions  ................................ ............  52  Enforcement and undertakings provisions  ................................ ...........................  52  Appendix 2:  Acquisitions subject to the Act  ................................ ............................  54  Territorial jurisdiction  ................................ ................................ ...........................  54  Acquirers subject to the Act  ................................ ................................ .................  54  Types of acq uisitions  ................................ ................................ ...........................  54  Exceptions  ................................ ................................ ................................ ..........  55  Partial shareholdings and minority interests  ................................ ........................  55  Appendix 3:  Undertakings  ................................ ................................ ..........................  58  General principles  ................................ ................................ ...............................  58  Types of undertakings  ................................ ................................ .........................  59  Process  ................................ ................................ ................................ ...............  61  Enforcement ................................ ................................ ................................ ........  61  Glossary and shortened forms  ................................ ................................ ........................  63,"Based on the document, what is the significance of ""vertical integration"" (page 47) in the context of merger assessments, and how does it relate to the ability to increase prices or profit margins?"
Availability of substitutes  ................................ ................................ .....................  41  Countervailing power  ................................ ................................ .........................  44  Dynamic characteristics of the market  ................................ ................................ . 45  Removal of a vigorous and effective competitor  ................................ ..................  46  Vertical integration  ................................ ................................ ..............................  47  Ability to increase prices or profit margins  ................................ ...........................  47  Other factors  ................................ ................................ ................................ ....... 48  Appendix 1:  Relevant provisions of the Act  ................................ .............................  51  The substantive mergers test (s. 50)  ................................ ................................ ... 51  Clearance processe s and authorisations provisions  ................................ ............  52  Enforcement and undertakings provisions  ................................ ...........................  52  Appendix 2:  Acquisitions subject to the Act  ................................ ............................  54  Territorial jurisdiction  ................................ ................................ ...........................  54  Acquirers subject to the Act  ................................ ................................ .................  54  Types of acq uisitions  ................................ ................................ ...........................  54  Exceptions  ................................ ................................ ................................ ..........  55  Partial shareholdings and minority interests  ................................ ........................  55  Appendix 3:  Undertakings  ................................ ................................ ..........................  58  General principles  ................................ ................................ ...............................  58  Types of undertakings  ................................ ................................ .........................  59  Process  ................................ ................................ ................................ ...............  61  Enforcement ................................ ................................ ................................ ........  61  Glossary and shortened forms  ................................ ................................ ........................  63,"Describe the process for implementing and enforcing ""undertakings"" (Appendix 3, starting page 58) as a means of addressing potential anti-competitive concerns arising from mergers."
