chunk,question
"TABLE OF CONTENTS Page Article I DEFINITIONS & INTERPRETATIONS 2 1.1 Certain Definitions 2 1.2 Additional Definitions 16 1.3 Certain Interpretations 18 1.4 Disclosure Letters 20 Article II THE MERGER 20 2.1 The Merger 20 2.2 The Effective Time 21 2.3 The Closing 21 2.4 Effect of the Merger 21 2.5 Certificate of Incorporation and Bylaws 21 2.6 Directors and Officers 22 2.7 Effect on Capital Stock 22 2.8 Equity Awards 23 2.9 Surrender of Shares 27 2.10 No Further Ownership Rights in Company Common Stock 29 2.11 Lost, Stolen or Destroyed Certificates 29 2.12 Required Withholding 29 2.13 Necessary Further Actions 29 2.14 Adjustment to Merger Consideration 30 Article III REPRESENTATIONS AND WARRANTIES OF THE COMPANY 30 3.1 Organization; Good Standing 30 3.2 Corporate Power; Enforceability 30 3.3 Company Board Approval; Opinion of the Company’s Financial Advisor; Anti-Takeover Laws 31 3.4 Requisite Stockholder Approval 31 3.5 Non-Contravention 32 3.6 Requisite Governmental Approvals 32 3.7 Company Capitalization 32 3.8 Subsidiaries 34 3.9 Company SEC Reports 35 3.10 Company Financial Statements; Internal Controls; Indebtedness 35 3.11 No Undisclosed Liabilities 37 3.12 Absence of Certain Changes; No Company Material Adverse Effect 37 3.13 Material Contracts 37 3.14 Real Property 38 3.15 Environmental Matters 39 3.16 Intellectual Property; Privacy and Security 39 -i-", What representations and warranties does the Company provide in Article III?
"TABLE OF CONTENTS Page Article I DEFINITIONS & INTERPRETATIONS 2 1.1 Certain Definitions 2 1.2 Additional Definitions 16 1.3 Certain Interpretations 18 1.4 Disclosure Letters 20 Article II THE MERGER 20 2.1 The Merger 20 2.2 The Effective Time 21 2.3 The Closing 21 2.4 Effect of the Merger 21 2.5 Certificate of Incorporation and Bylaws 21 2.6 Directors and Officers 22 2.7 Effect on Capital Stock 22 2.8 Equity Awards 23 2.9 Surrender of Shares 27 2.10 No Further Ownership Rights in Company Common Stock 29 2.11 Lost, Stolen or Destroyed Certificates 29 2.12 Required Withholding 29 2.13 Necessary Further Actions 29 2.14 Adjustment to Merger Consideration 30 Article III REPRESENTATIONS AND WARRANTIES OF THE COMPANY 30 3.1 Organization; Good Standing 30 3.2 Corporate Power; Enforceability 30 3.3 Company Board Approval; Opinion of the Company’s Financial Advisor; Anti-Takeover Laws 31 3.4 Requisite Stockholder Approval 31 3.5 Non-Contravention 32 3.6 Requisite Governmental Approvals 32 3.7 Company Capitalization 32 3.8 Subsidiaries 34 3.9 Company SEC Reports 35 3.10 Company Financial Statements; Internal Controls; Indebtedness 35 3.11 No Undisclosed Liabilities 37 3.12 Absence of Certain Changes; No Company Material Adverse Effect 37 3.13 Material Contracts 37 3.14 Real Property 38 3.15 Environmental Matters 39 3.16 Intellectual Property; Privacy and Security 39 -i-", How are Material Contracts addressed in the document?
"TABLE OF CONTENTS (Continued) Page 3.17 Tax Matters 41 3.18 Employee Plans 44 3.19 Labor and Employment Matters 47 3.20 Permits 48 3.21 Compliance with Laws 48 3.22 Anti-Money Laundering Laws 50 3.23 Legal Proceedings; Orders 50 3.24 Insurance 50 3.25 Related Person Transactions 51 3.26 Brokers 51 3.27 Exclusivity of Representations and Warranties 51 Article IV REPRESENTATIONS AND WARRANTIES OF PARENT AND MERGER SUB 52 4.1 Organization; Good Standing 52 4.2 Corporate Power; Enforceability 53 4.3 Non-Contravention 54 4.4 Requisite Governmental Approvals 54 4.5 Legal Proceedings; Orders 54 4.6 Ownership of Company Common Stock 54 4.7 Brokers 54 4.8 No Parent Vote or Approval Required 55 4.9 Sufficient Funds 55 4.10 Exclusivity of Representations and Warranties 55 Article V INTERIM OPERATIONS OF THE COMPANY 56 5.1 Affirmative Obligations 56 5.2 Forbearance Covenants 56 5.3 No Solicitation 60 5.4 No Control of the Company’s Business 65 Article VI ADDITIONAL COVENANTS 65 6.1 Required Action and Forbearance; Efforts 65 6.2 Regulatory Approvals 66 6.3 Proxy Statement 67 6.4 Company Stockholder Meeting 69 6.5 Anti-Takeover Laws 70 6.6 Access 70 6.7 Section 16(b) Exemption 71 6.8 Directors’ and Officers’ Exculpation, Indemnification and Insurance 71 6.9 Employee Matters 74 6.10 Obligations of Merger Sub 76 6.11 Notification of Certain Matters 76 6.12 Public Statements and Disclosure 77 6.13 Specified and Transaction Litigation 77 -ii-"," What is covered under the section ""Tax Matters"" in the document's Table of Contents?"
"TABLE OF CONTENTS (Continued) Page 3.17 Tax Matters 41 3.18 Employee Plans 44 3.19 Labor and Employment Matters 47 3.20 Permits 48 3.21 Compliance with Laws 48 3.22 Anti-Money Laundering Laws 50 3.23 Legal Proceedings; Orders 50 3.24 Insurance 50 3.25 Related Person Transactions 51 3.26 Brokers 51 3.27 Exclusivity of Representations and Warranties 51 Article IV REPRESENTATIONS AND WARRANTIES OF PARENT AND MERGER SUB 52 4.1 Organization; Good Standing 52 4.2 Corporate Power; Enforceability 53 4.3 Non-Contravention 54 4.4 Requisite Governmental Approvals 54 4.5 Legal Proceedings; Orders 54 4.6 Ownership of Company Common Stock 54 4.7 Brokers 54 4.8 No Parent Vote or Approval Required 55 4.9 Sufficient Funds 55 4.10 Exclusivity of Representations and Warranties 55 Article V INTERIM OPERATIONS OF THE COMPANY 56 5.1 Affirmative Obligations 56 5.2 Forbearance Covenants 56 5.3 No Solicitation 60 5.4 No Control of the Company’s Business 65 Article VI ADDITIONAL COVENANTS 65 6.1 Required Action and Forbearance; Efforts 65 6.2 Regulatory Approvals 66 6.3 Proxy Statement 67 6.4 Company Stockholder Meeting 69 6.5 Anti-Takeover Laws 70 6.6 Access 70 6.7 Section 16(b) Exemption 71 6.8 Directors’ and Officers’ Exculpation, Indemnification and Insurance 71 6.9 Employee Matters 74 6.10 Obligations of Merger Sub 76 6.11 Notification of Certain Matters 76 6.12 Public Statements and Disclosure 77 6.13 Specified and Transaction Litigation 77 -ii-"," How does the document address ""Labor and Employment Matters""?"
"TABLE OF CONTENTS (Continued) Page 3.17 Tax Matters 41 3.18 Employee Plans 44 3.19 Labor and Employment Matters 47 3.20 Permits 48 3.21 Compliance with Laws 48 3.22 Anti-Money Laundering Laws 50 3.23 Legal Proceedings; Orders 50 3.24 Insurance 50 3.25 Related Person Transactions 51 3.26 Brokers 51 3.27 Exclusivity of Representations and Warranties 51 Article IV REPRESENTATIONS AND WARRANTIES OF PARENT AND MERGER SUB 52 4.1 Organization; Good Standing 52 4.2 Corporate Power; Enforceability 53 4.3 Non-Contravention 54 4.4 Requisite Governmental Approvals 54 4.5 Legal Proceedings; Orders 54 4.6 Ownership of Company Common Stock 54 4.7 Brokers 54 4.8 No Parent Vote or Approval Required 55 4.9 Sufficient Funds 55 4.10 Exclusivity of Representations and Warranties 55 Article V INTERIM OPERATIONS OF THE COMPANY 56 5.1 Affirmative Obligations 56 5.2 Forbearance Covenants 56 5.3 No Solicitation 60 5.4 No Control of the Company’s Business 65 Article VI ADDITIONAL COVENANTS 65 6.1 Required Action and Forbearance; Efforts 65 6.2 Regulatory Approvals 66 6.3 Proxy Statement 67 6.4 Company Stockholder Meeting 69 6.5 Anti-Takeover Laws 70 6.6 Access 70 6.7 Section 16(b) Exemption 71 6.8 Directors’ and Officers’ Exculpation, Indemnification and Insurance 71 6.9 Employee Matters 74 6.10 Obligations of Merger Sub 76 6.11 Notification of Certain Matters 76 6.12 Public Statements and Disclosure 77 6.13 Specified and Transaction Litigation 77 -ii-"," What are the requirements for ""Requisite Governmental Approvals"" as outlined in the document?"
"TABLE OF CONTENTS (Continued) Page 3.17 Tax Matters 41 3.18 Employee Plans 44 3.19 Labor and Employment Matters 47 3.20 Permits 48 3.21 Compliance with Laws 48 3.22 Anti-Money Laundering Laws 50 3.23 Legal Proceedings; Orders 50 3.24 Insurance 50 3.25 Related Person Transactions 51 3.26 Brokers 51 3.27 Exclusivity of Representations and Warranties 51 Article IV REPRESENTATIONS AND WARRANTIES OF PARENT AND MERGER SUB 52 4.1 Organization; Good Standing 52 4.2 Corporate Power; Enforceability 53 4.3 Non-Contravention 54 4.4 Requisite Governmental Approvals 54 4.5 Legal Proceedings; Orders 54 4.6 Ownership of Company Common Stock 54 4.7 Brokers 54 4.8 No Parent Vote or Approval Required 55 4.9 Sufficient Funds 55 4.10 Exclusivity of Representations and Warranties 55 Article V INTERIM OPERATIONS OF THE COMPANY 56 5.1 Affirmative Obligations 56 5.2 Forbearance Covenants 56 5.3 No Solicitation 60 5.4 No Control of the Company’s Business 65 Article VI ADDITIONAL COVENANTS 65 6.1 Required Action and Forbearance; Efforts 65 6.2 Regulatory Approvals 66 6.3 Proxy Statement 67 6.4 Company Stockholder Meeting 69 6.5 Anti-Takeover Laws 70 6.6 Access 70 6.7 Section 16(b) Exemption 71 6.8 Directors’ and Officers’ Exculpation, Indemnification and Insurance 71 6.9 Employee Matters 74 6.10 Obligations of Merger Sub 76 6.11 Notification of Certain Matters 76 6.12 Public Statements and Disclosure 77 6.13 Specified and Transaction Litigation 77 -ii-"," How does the document deal with ""Related Person Transactions""?"
"TABLE OF CONTENTS (Continued) Page 3.17 Tax Matters 41 3.18 Employee Plans 44 3.19 Labor and Employment Matters 47 3.20 Permits 48 3.21 Compliance with Laws 48 3.22 Anti-Money Laundering Laws 50 3.23 Legal Proceedings; Orders 50 3.24 Insurance 50 3.25 Related Person Transactions 51 3.26 Brokers 51 3.27 Exclusivity of Representations and Warranties 51 Article IV REPRESENTATIONS AND WARRANTIES OF PARENT AND MERGER SUB 52 4.1 Organization; Good Standing 52 4.2 Corporate Power; Enforceability 53 4.3 Non-Contravention 54 4.4 Requisite Governmental Approvals 54 4.5 Legal Proceedings; Orders 54 4.6 Ownership of Company Common Stock 54 4.7 Brokers 54 4.8 No Parent Vote or Approval Required 55 4.9 Sufficient Funds 55 4.10 Exclusivity of Representations and Warranties 55 Article V INTERIM OPERATIONS OF THE COMPANY 56 5.1 Affirmative Obligations 56 5.2 Forbearance Covenants 56 5.3 No Solicitation 60 5.4 No Control of the Company’s Business 65 Article VI ADDITIONAL COVENANTS 65 6.1 Required Action and Forbearance; Efforts 65 6.2 Regulatory Approvals 66 6.3 Proxy Statement 67 6.4 Company Stockholder Meeting 69 6.5 Anti-Takeover Laws 70 6.6 Access 70 6.7 Section 16(b) Exemption 71 6.8 Directors’ and Officers’ Exculpation, Indemnification and Insurance 71 6.9 Employee Matters 74 6.10 Obligations of Merger Sub 76 6.11 Notification of Certain Matters 76 6.12 Public Statements and Disclosure 77 6.13 Specified and Transaction Litigation 77 -ii-"," What are the affirmative obligations outlined for the company in the section on ""Interim Operations of the Company""?"
"TABLE OF CONTENTS (Continued) Page 3.17 Tax Matters 41 3.18 Employee Plans 44 3.19 Labor and Employment Matters 47 3.20 Permits 48 3.21 Compliance with Laws 48 3.22 Anti-Money Laundering Laws 50 3.23 Legal Proceedings; Orders 50 3.24 Insurance 50 3.25 Related Person Transactions 51 3.26 Brokers 51 3.27 Exclusivity of Representations and Warranties 51 Article IV REPRESENTATIONS AND WARRANTIES OF PARENT AND MERGER SUB 52 4.1 Organization; Good Standing 52 4.2 Corporate Power; Enforceability 53 4.3 Non-Contravention 54 4.4 Requisite Governmental Approvals 54 4.5 Legal Proceedings; Orders 54 4.6 Ownership of Company Common Stock 54 4.7 Brokers 54 4.8 No Parent Vote or Approval Required 55 4.9 Sufficient Funds 55 4.10 Exclusivity of Representations and Warranties 55 Article V INTERIM OPERATIONS OF THE COMPANY 56 5.1 Affirmative Obligations 56 5.2 Forbearance Covenants 56 5.3 No Solicitation 60 5.4 No Control of the Company’s Business 65 Article VI ADDITIONAL COVENANTS 65 6.1 Required Action and Forbearance; Efforts 65 6.2 Regulatory Approvals 66 6.3 Proxy Statement 67 6.4 Company Stockholder Meeting 69 6.5 Anti-Takeover Laws 70 6.6 Access 70 6.7 Section 16(b) Exemption 71 6.8 Directors’ and Officers’ Exculpation, Indemnification and Insurance 71 6.9 Employee Matters 74 6.10 Obligations of Merger Sub 76 6.11 Notification of Certain Matters 76 6.12 Public Statements and Disclosure 77 6.13 Specified and Transaction Litigation 77 -ii-"," How does the document address ""Directors and Officers Exculpation, Indemnification and Insurance""?"
"TABLE OF CONTENTS (Continued) Page 6.14 Stock Exchange Delisting; Deregistration 78 6.15 Additional Agreements 78 6.16 Senior Notes; Credit Facility 78 6.17 Parent Vote; Merger Sub 80 6.18 Tax Matters 80 Article VII CONDITIONS TO THE MERGER 81 7.1 Conditions to Each Party’s Obligations to Effect the Merger 81 7.2 Conditions to the Obligations of Parent and Merger Sub 81 7.3 Conditions to the Company’s Obligations to Effect the Merger 83 Article VIII TERMINATION, AMENDMENT AND WAIVER 83 8.1 Termination 83 8.2 Manner and Notice of Termination; Effect of Termination 85 8.3 Fees and Expenses 86 8.4 Amendment 87 8.5 Extension; Waiver 88 Article IX GENERAL PROVISIONS 88 9.1 Survival of Representations, Warranties and Covenants 88 9.2 Notices 88 9.3 Assignment 89 9.4 Confidentiality 90 9.5 Entire Agreement 90 9.6 Third-Party Beneficiaries 90 9.7 Severability 90 9.8 Remedies 90 9.9 Governing Law 91 9.10 Consent to Jurisdiction 91 9.11 WAIVER OF JURY TRIAL 92 9.12 Counterparts 92 9.13 No Limitation 92 Exhibit A – Fourth Amended and Restated Certificate of Incorporation of the Surviving Corporation -iii-", What topics are covered in Article VII of the document?
"TABLE OF CONTENTS (Continued) Page 6.14 Stock Exchange Delisting; Deregistration 78 6.15 Additional Agreements 78 6.16 Senior Notes; Credit Facility 78 6.17 Parent Vote; Merger Sub 80 6.18 Tax Matters 80 Article VII CONDITIONS TO THE MERGER 81 7.1 Conditions to Each Party’s Obligations to Effect the Merger 81 7.2 Conditions to the Obligations of Parent and Merger Sub 81 7.3 Conditions to the Company’s Obligations to Effect the Merger 83 Article VIII TERMINATION, AMENDMENT AND WAIVER 83 8.1 Termination 83 8.2 Manner and Notice of Termination; Effect of Termination 85 8.3 Fees and Expenses 86 8.4 Amendment 87 8.5 Extension; Waiver 88 Article IX GENERAL PROVISIONS 88 9.1 Survival of Representations, Warranties and Covenants 88 9.2 Notices 88 9.3 Assignment 89 9.4 Confidentiality 90 9.5 Entire Agreement 90 9.6 Third-Party Beneficiaries 90 9.7 Severability 90 9.8 Remedies 90 9.9 Governing Law 91 9.10 Consent to Jurisdiction 91 9.11 WAIVER OF JURY TRIAL 92 9.12 Counterparts 92 9.13 No Limitation 92 Exhibit A – Fourth Amended and Restated Certificate of Incorporation of the Surviving Corporation -iii-", How are the conditions to the merger different for each party involved?
"TABLE OF CONTENTS (Continued) Page 6.14 Stock Exchange Delisting; Deregistration 78 6.15 Additional Agreements 78 6.16 Senior Notes; Credit Facility 78 6.17 Parent Vote; Merger Sub 80 6.18 Tax Matters 80 Article VII CONDITIONS TO THE MERGER 81 7.1 Conditions to Each Party’s Obligations to Effect the Merger 81 7.2 Conditions to the Obligations of Parent and Merger Sub 81 7.3 Conditions to the Company’s Obligations to Effect the Merger 83 Article VIII TERMINATION, AMENDMENT AND WAIVER 83 8.1 Termination 83 8.2 Manner and Notice of Termination; Effect of Termination 85 8.3 Fees and Expenses 86 8.4 Amendment 87 8.5 Extension; Waiver 88 Article IX GENERAL PROVISIONS 88 9.1 Survival of Representations, Warranties and Covenants 88 9.2 Notices 88 9.3 Assignment 89 9.4 Confidentiality 90 9.5 Entire Agreement 90 9.6 Third-Party Beneficiaries 90 9.7 Severability 90 9.8 Remedies 90 9.9 Governing Law 91 9.10 Consent to Jurisdiction 91 9.11 WAIVER OF JURY TRIAL 92 9.12 Counterparts 92 9.13 No Limitation 92 Exhibit A – Fourth Amended and Restated Certificate of Incorporation of the Surviving Corporation -iii-"," What is discussed in Article VIII regarding termination, amendment, and waiver?"
"TABLE OF CONTENTS (Continued) Page 6.14 Stock Exchange Delisting; Deregistration 78 6.15 Additional Agreements 78 6.16 Senior Notes; Credit Facility 78 6.17 Parent Vote; Merger Sub 80 6.18 Tax Matters 80 Article VII CONDITIONS TO THE MERGER 81 7.1 Conditions to Each Party’s Obligations to Effect the Merger 81 7.2 Conditions to the Obligations of Parent and Merger Sub 81 7.3 Conditions to the Company’s Obligations to Effect the Merger 83 Article VIII TERMINATION, AMENDMENT AND WAIVER 83 8.1 Termination 83 8.2 Manner and Notice of Termination; Effect of Termination 85 8.3 Fees and Expenses 86 8.4 Amendment 87 8.5 Extension; Waiver 88 Article IX GENERAL PROVISIONS 88 9.1 Survival of Representations, Warranties and Covenants 88 9.2 Notices 88 9.3 Assignment 89 9.4 Confidentiality 90 9.5 Entire Agreement 90 9.6 Third-Party Beneficiaries 90 9.7 Severability 90 9.8 Remedies 90 9.9 Governing Law 91 9.10 Consent to Jurisdiction 91 9.11 WAIVER OF JURY TRIAL 92 9.12 Counterparts 92 9.13 No Limitation 92 Exhibit A – Fourth Amended and Restated Certificate of Incorporation of the Surviving Corporation -iii-", How are fees and expenses addressed in the document?
"TABLE OF CONTENTS (Continued) Page 6.14 Stock Exchange Delisting; Deregistration 78 6.15 Additional Agreements 78 6.16 Senior Notes; Credit Facility 78 6.17 Parent Vote; Merger Sub 80 6.18 Tax Matters 80 Article VII CONDITIONS TO THE MERGER 81 7.1 Conditions to Each Party’s Obligations to Effect the Merger 81 7.2 Conditions to the Obligations of Parent and Merger Sub 81 7.3 Conditions to the Company’s Obligations to Effect the Merger 83 Article VIII TERMINATION, AMENDMENT AND WAIVER 83 8.1 Termination 83 8.2 Manner and Notice of Termination; Effect of Termination 85 8.3 Fees and Expenses 86 8.4 Amendment 87 8.5 Extension; Waiver 88 Article IX GENERAL PROVISIONS 88 9.1 Survival of Representations, Warranties and Covenants 88 9.2 Notices 88 9.3 Assignment 89 9.4 Confidentiality 90 9.5 Entire Agreement 90 9.6 Third-Party Beneficiaries 90 9.7 Severability 90 9.8 Remedies 90 9.9 Governing Law 91 9.10 Consent to Jurisdiction 91 9.11 WAIVER OF JURY TRIAL 92 9.12 Counterparts 92 9.13 No Limitation 92 Exhibit A – Fourth Amended and Restated Certificate of Incorporation of the Surviving Corporation -iii-", What are the general provisions outlined in Article IX?
"TABLE OF CONTENTS (Continued) Page 6.14 Stock Exchange Delisting; Deregistration 78 6.15 Additional Agreements 78 6.16 Senior Notes; Credit Facility 78 6.17 Parent Vote; Merger Sub 80 6.18 Tax Matters 80 Article VII CONDITIONS TO THE MERGER 81 7.1 Conditions to Each Party’s Obligations to Effect the Merger 81 7.2 Conditions to the Obligations of Parent and Merger Sub 81 7.3 Conditions to the Company’s Obligations to Effect the Merger 83 Article VIII TERMINATION, AMENDMENT AND WAIVER 83 8.1 Termination 83 8.2 Manner and Notice of Termination; Effect of Termination 85 8.3 Fees and Expenses 86 8.4 Amendment 87 8.5 Extension; Waiver 88 Article IX GENERAL PROVISIONS 88 9.1 Survival of Representations, Warranties and Covenants 88 9.2 Notices 88 9.3 Assignment 89 9.4 Confidentiality 90 9.5 Entire Agreement 90 9.6 Third-Party Beneficiaries 90 9.7 Severability 90 9.8 Remedies 90 9.9 Governing Law 91 9.10 Consent to Jurisdiction 91 9.11 WAIVER OF JURY TRIAL 92 9.12 Counterparts 92 9.13 No Limitation 92 Exhibit A – Fourth Amended and Restated Certificate of Incorporation of the Surviving Corporation -iii-", Why is the waiver of a jury trial mentioned in the document?
